State,Capital city,Second city,Third city,Statehood,Capital since,Capital rank
Alabama,Montgomery,Birmingham,Auburn,1819,1846,3
Alaska,Juneau,Anchorage,Fairbanks,1959,1906,3
Arizona,Phoenix,Tucson,Mesa,1912,1889,1
Arkansas,Little Rock,Fayetteville,For Smith,1836,1821,1
California,Sacramento,Los Angeles,San Diego,1850,1854,6
Colorado,Denver,Aurora,Lakewood,1876,1867,1
Connecticut,Hartford,Bridgeport,Stamford,1788,1875,3
Delaware,Dover,Wilmington,Newark,1787,1777,2
Florida,Tallahassee,Miami,Tampa,1845,1824,7
Georgia,Atlanta,Augusta,Macon,1788,1868,1
Hawaii,Honolulu,Pearl City,Hilo,1959,1845,1
Idaho,Boise,Meridian,Nampa,1890,1865,1
Illinois,Springfield,Chicago,Aurora,1818,1837,6
Indiana,Indianapolis,Fort Wayne,Evansville,1816,1825,1
Iowa,Des Moines,Cedar Rapids,Davenport,1846,1857,1
Kansas,Topeka,Wichita,Kansas City,1861,1856,4
Kentucky,Frankfort,Louisville,Lexington,1792,1792,15
Louisiana,Baton Rouge,New Orleans,Shreveport,1812,1880,2
Maine,Augusta,Portland,Lewiston,1820,1832,8
Maryland,Annapolis,Baltimore,Columbia,1788,1694,7
Massachusetts,Boston,Worcester,Cambridge,1788,1630,1
Michigan,Lansing,Detroit,Warren,1837,1847,5
Minnesota,Saint Paul,Minneapolis,Duluth,1858,1849,2
Mississippi,Jackson,Gulfport,Southaven,1817,1821,1
Missouri,Jefferson City,Kansas City,Spring Field,1821,1826,15
Montana,Helena,Billings,Misoulas,1889,1875,6
Nebraska,Lincoln,Ohama,Bellevue,1867,1867,2
Nevada,Carson City,Las Vegas,Reno,1864,1861,6
New Hampshire,Concord,Manchester,Dover,1788,1808,3
New Jersey,Trenton,Newark,Jersey City,1787,1784,10
New Mexico,Santa Fe,Albuquerque,Rio Rancho,1912,1610,4
New York,Albany,Bufflo,New York City,1788,1797,6
North Carolina,Raleigh,Charlotte,Durham,1789,1792,2
North Dakota,Bismarck,Fargo,Grand Forks,1889,1883,2
Ohio,Columbus,Cleveland,Toledo,1803,1816,1
Oklahoma,Oklahoma City,Tulsa,Norman,1907,1910,1
Oregon,Salem,Portland,Eugene,1859,1855,3
Pennsylvania,Harrisburg,Philadelphia,Pittsburg,1787,1812,9
Rhode Island,Providence,Cranston,Warwick,1790,1900,1
South Carolina,Columbia,Charleston,Rock Hill,1788,1786,2
South Dakota,Pierre,Sixous Falls,Rapid City,1889,1889,8
Tennessee,Nashville,Memphis,Knoxville,1796,1826,1
Texas,Austin,Dallas,Houston,1845,1839,4
Utah,Salt Lake City,West Valley City,Provo,1896,1858,1
Vermont,Montpelier,Rutland,Burlington,1791,1805,6
Virginia,Richmond,Norfolk,Virginia Beach,1788,1780,4
Washington,Olympia,Seattle,Tacoma,1889,1853,24
West Virginia,Charleston,Huntington,Morgantown,1863,1885,1
Wisconsin,Madison,Milwaukee,Green Bay,1848,1838,2
Wyoming,Cheyenne,Casper,Laramie,1890,1869,1
